,title,mae,rmse,forecast
0,1986 in England,1.074637233429094,3.560475742988132,"2025-01-01    1.005071
2025-01-02    0.956933
2025-01-03    0.704302
2025-01-04    1.015323
2025-01-05    0.926963
2025-01-06    0.772083
2025-01-07    1.011506
Freq: D, dtype: float64"
1,Battle of Ayshal,2.418853490214935,3.583334290352333,"2025-01-01    6.856086
2025-01-02    6.917151
2025-01-03    6.917151
2025-01-04    6.917151
2025-01-05    6.917151
2025-01-06    6.917151
2025-01-07    6.917151
Freq: D, dtype: float64"
2,2012 World Mountain Running Championships,0.6131603823330333,0.8446813173546571,"2025-01-01    0.868794
2025-01-02    0.839998
2025-01-03    0.719900
2025-01-04    0.707355
2025-01-05    0.621995
2025-01-06    0.618764
2025-01-07    0.557709
Freq: D, dtype: float64"
3,Anthony Aucher,1.2389877859908138,1.900735020731975,"2025-01-01    1.504190
2025-01-02    1.451658
2025-01-03    1.476276
2025-01-04    1.476276
2025-01-05    1.476276
2025-01-06    1.476276
2025-01-07    1.476276
Freq: D, dtype: float64"
4,2008 Cotton Bowl Classic,8.160105411607539,35.89406318233023,"2025-01-01    44.975279
2025-01-02    33.459732
2025-01-03    29.562336
2025-01-04    28.243276
2025-01-05    27.796844
2025-01-06    27.645751
2025-01-07    27.594614
Freq: D, dtype: float64"
5,Brian Dear,9.159764616099837,62.59788011604075,"2025-01-01    26.243523
2025-01-02    20.796012
2025-01-03    19.643859
2025-01-04    19.400178
2025-01-05    19.348640
2025-01-06    19.337739
2025-01-07    19.335434
Freq: D, dtype: float64"
6,1981 in jazz,1.5478787117986073,2.17253045413765,"2025-01-01    1.687246
2025-01-02    1.607052
2025-01-03    1.680308
2025-01-04    1.613390
2025-01-05    1.674518
2025-01-06    1.618679
2025-01-07    1.669687
Freq: D, dtype: float64"
7,2003 King George VI and Queen Elizabeth Stakes,0.7155737772325281,1.1155498693459776,"2025-01-01    0.153734
2025-01-02    0.280438
2025-01-03    0.266417
2025-01-04    0.363285
2025-01-05    0.318375
2025-01-06    0.388825
2025-01-07    0.341443
Freq: D, dtype: float64"
8,England Knights match results,0.7653393100940378,1.439570681963651,"2024-12-31    0.015292
2025-01-01    0.019546
2025-01-02    0.020730
2025-01-03    0.021059
2025-01-04    0.021151
2025-01-05    0.021176
2025-01-06    0.021183
Freq: D, dtype: float64"
9,Bare-eared squirrel monkey,2.178889223496397,2.7890352288364637,"2025-01-01    5.464022
2025-01-02    5.577483
2025-01-03    5.577483
2025-01-04    5.577483
2025-01-05    5.577483
2025-01-06    5.577483
2025-01-07    5.577483
Freq: D, dtype: float64"
10,2009 Australian Swimming Championships,0.7996568369567936,1.9646356470866781,"2024-12-31    0.661480
2025-01-01    0.612303
2025-01-02    0.612303
2025-01-03    0.612303
2025-01-04    0.612303
2025-01-05    0.612303
2025-01-06    0.612303
Freq: D, dtype: float64"
11,Beth Hart discography,10.031159849412125,13.825289663573843,"2025-01-01    48.924576
2025-01-02    47.126675
2025-01-03    47.173405
2025-01-04    47.080076
2025-01-05    46.986931
2025-01-06    46.893971
2025-01-07    46.801194
Freq: D, dtype: float64"
12,A Strange Encounter,1.3706236691965137,1.845394132147358,"2025-01-01    1.362110
2025-01-02    1.356447
2025-01-03    1.409245
2025-01-04    1.414885
2025-01-05    1.417582
2025-01-06    1.418103
2025-01-07    1.418267
Freq: D, dtype: float64"
13,Anna-Maria Haas,0.9229181855413572,1.3374684741211915,"2025-01-01    0.72677
2025-01-02    0.72677
2025-01-03    0.72677
2025-01-04    0.72677
2025-01-05    0.72677
2025-01-06    0.72677
2025-01-07    0.72677
Freq: D, dtype: float64"
14,1896 Ole Miss Rebels football team,0.7527226449806125,1.0349527682049742,"2025-01-01    0.578046
2025-01-02    0.578046
2025-01-03    0.578046
2025-01-04    0.578046
2025-01-05    0.578046
2025-01-06    0.578046
2025-01-07    0.578046
Freq: D, dtype: float64"
15,2006 Enterprise Football League,0.4834699783693566,0.8348433030036356,"2025-01-01    0.507527
2025-01-02    0.382984
2025-01-03    0.484398
2025-01-04    0.401817
2025-01-05    0.469063
2025-01-06    0.414305
2025-01-07    0.458894
Freq: D, dtype: float64"
16,Approximation to the identity,2.2543252155552485,2.914866719619186,"2025-01-01    3.684952
2025-01-02    3.801023
2025-01-03    3.796646
2025-01-04    3.792273
2025-01-05    3.787905
2025-01-06    3.783542
2025-01-07    3.779184
Freq: D, dtype: float64"
17,Alfredo Grelak,1.0341680986565158,3.0294624656078066,"2025-01-01    1.022004
2025-01-02    1.069896
2025-01-03    1.072140
2025-01-04    1.072245
2025-01-05    1.072250
2025-01-06    1.072250
2025-01-07    1.072250
Freq: D, dtype: float64"
18,"Bangladesh International School, English Section, Riyadh",3.1368267923967927,7.367748918486446,"2025-01-01    3.431118
2025-01-02    3.453019
2025-01-03    3.454132
2025-01-04    3.454188
2025-01-05    3.454191
2025-01-06    3.454191
2025-01-07    3.454191
Freq: D, dtype: float64"
19,Bolzaneto,2.01820998603364,2.6979135190077503,"2025-01-01    4.108227
2025-01-02    4.043701
2025-01-03    4.004252
2025-01-04    3.980135
2025-01-05    3.965391
2025-01-06    3.956378
2025-01-07    3.950867
Freq: D, dtype: float64"
20,Breeder (animal),3.1201615623555563,5.504018663625697,"2025-01-01    6.986694
2025-01-02    6.808350
2025-01-03    6.792551
2025-01-04    6.791152
2025-01-05    6.791028
2025-01-06    6.791017
2025-01-07    6.791016
Freq: D, dtype: float64"
21,1974–75 Boise State Broncos men's basketball team,0.5538407443010724,0.7800311309875303,"2025-01-01    0.420033
2025-01-02    0.420033
2025-01-03    0.420033
2025-01-04    0.420033
2025-01-05    0.420033
2025-01-06    0.420033
2025-01-07    0.420033
Freq: D, dtype: float64"
22,Alexander Thoirs House,0.5796182303749204,0.7333112727320273,"2025-01-01    0.453732
2025-01-02    0.474891
2025-01-03    0.440959
2025-01-04    0.440959
2025-01-05    0.440959
2025-01-06    0.440959
2025-01-07    0.440959
Freq: D, dtype: float64"
23,2015 FIBA Europe Under-16 Championship for Women Division C,0.5388918580203123,0.7501721268572255,"2024-12-31    0.345830
2025-01-01    0.457646
2025-01-02    0.338847
2025-01-03    0.381168
2025-01-04    0.381168
2025-01-05    0.381168
2025-01-06    0.381168
Freq: D, dtype: float64"
24,Alfred Roller,3.3305095791322974,4.427380978405053,"2025-01-01    8.287535
2025-01-02    8.520167
2025-01-03    9.100340
2025-01-04    9.213258
2025-01-05    9.303451
2025-01-06    9.330793
2025-01-07    9.346219
Freq: D, dtype: float64"
25,"Birchdale, Minnesota",2.5335023949784414,14.298257706459745,"2025-01-01    0.801629
2025-01-02    1.181928
2025-01-03    1.323275
2025-01-04    1.129380
2025-01-05    1.272322
2025-01-06    1.183587
2025-01-07    1.234482
Freq: D, dtype: float64"
26,2003 FIA GT Oschersleben 500km,0.5593074162944033,1.0255082986411146,"2024-12-31    0.354952
2025-01-01    0.312330
2025-01-02    0.352435
2025-01-03    0.313431
2025-01-04    0.350077
2025-01-05    0.314382
2025-01-06    0.347866
Freq: D, dtype: float64"
27,Alicurá Dam,1.4378639984749622,3.563334801213552,"2025-01-01    1.803078
2025-01-02    1.803078
2025-01-03    1.803078
2025-01-04    1.803078
2025-01-05    1.803078
2025-01-06    1.803078
2025-01-07    1.803078
Freq: D, dtype: float64"
28,Braille pattern dots-24,1.4911629934064938,2.1541845316432684,"2025-01-01    2.135222
2025-01-02    1.958587
2025-01-03    1.789627
2025-01-04    1.844965
2025-01-05    1.796222
2025-01-06    1.826535
2025-01-07    1.805749
Freq: D, dtype: float64"
29,Ayoor,3.4071293750689136,5.707206064884383,"2025-01-01    10.740793
2025-01-02     9.732319
2025-01-03     9.622480
2025-01-04     9.610517
2025-01-05     9.609214
2025-01-06     9.609072
2025-01-07     9.609057
Freq: D, dtype: float64"
30,1973 New York Jets season,4.680274249261744,8.274402740103596,"2025-01-01    18.178670
2025-01-02    17.259212
2025-01-03    17.259212
2025-01-04    17.259212
2025-01-05    17.259212
2025-01-06    17.259212
2025-01-07    17.259212
Freq: D, dtype: float64"
31,"1,4-Cyclohexanedione",2.644891217428237,3.562611236964812,"2025-01-01    5.931790
2025-01-02    5.926534
2025-01-03    5.926534
2025-01-04    5.926534
2025-01-05    5.926534
2025-01-06    5.926534
2025-01-07    5.926534
Freq: D, dtype: float64"
32,Blastobasis leucogonia,0.11822921260911558,0.2890548489254586,"2024-12-31    0.081167
2025-01-01    0.081167
2025-01-02    0.081167
2025-01-03    0.081167
2025-01-04    0.081167
2025-01-05    0.081167
2025-01-06    0.081167
Freq: D, dtype: float64"
33,British Independent Film Awards 2010,1.4307104794619656,3.7687780480400184,"2025-01-01    1.954023
2025-01-02    1.954023
2025-01-03    1.954023
2025-01-04    1.954023
2025-01-05    1.954023
2025-01-06    1.954023
2025-01-07    1.954023
Freq: D, dtype: float64"
34,2006 Masters of Formula 3,1.529134216778062,2.5059921310251214,"2025-01-01    1.454248
2025-01-02    1.463111
2025-01-03    1.439618
2025-01-04    1.483525
2025-01-05    1.460235
2025-01-06    1.478224
2025-01-07    1.466953
Freq: D, dtype: float64"
35,Balázs Hajdú,0.6408421470018821,1.1190159840387042,"2024-12-30    0.882281
2024-12-31    0.677085
2025-01-01    0.850495
2025-01-02    0.789800
2025-01-03    0.723230
2025-01-04    0.756715
2025-01-05    0.732215
Freq: D, dtype: float64"
36,3 cm MK 303 Flak,6.2530598685996175,11.335192720093174,"2025-01-01    32.564587
2025-01-02    34.137512
2025-01-03    34.137512
2025-01-04    34.137512
2025-01-05    34.137512
2025-01-06    34.137512
2025-01-07    34.137512
Freq: D, dtype: float64"
37,Baarìa,0.8642695574295503,3.4268293926386537,"2025-01-01    0.169830
2025-01-02    0.184217
2025-01-03    0.184821
2025-01-04    0.184203
2025-01-05    0.183477
2025-01-06    0.182741
2025-01-07    0.182004
Freq: D, dtype: float64"
38,"Bogert House (Demarest, New Jersey)",0.5797166031661215,0.7800036945486246,"2025-01-01    0.395311
2025-01-02    0.374831
2025-01-03    0.411772
2025-01-04    0.407567
2025-01-05    0.405203
2025-01-06    0.403873
2025-01-07    0.403125
Freq: D, dtype: float64"
39,Antonio Tublén,1.0434992239814942,1.3532253622844537,"2025-01-01    0.761958
2025-01-02    0.811488
2025-01-03    0.811488
2025-01-04    0.811488
2025-01-05    0.811488
2025-01-06    0.811488
2025-01-07    0.811488
Freq: D, dtype: float64"
40,1965 Upper Voltan parliamentary election,0.6074243706582338,0.8342672952189804,"2025-01-01    0.365001
2025-01-02    0.393130
2025-01-03    0.408700
2025-01-04    0.417318
2025-01-05    0.422088
2025-01-06    0.424729
2025-01-07    0.426190
Freq: D, dtype: float64"
41,APE 4.80,0.6857105439037425,0.9520770505290383,"2025-01-01    1.196335
2025-01-02    1.196335
2025-01-03    1.196335
2025-01-04    1.196335
2025-01-05    1.196335
2025-01-06    1.196335
2025-01-07    1.196335
Freq: D, dtype: float64"
42,5DX,3.748202782741562,5.199819572042711,"2025-01-01    5.218179
2025-01-02    5.523677
2025-01-03    6.321861
2025-01-04    5.750391
2025-01-05    6.159542
2025-01-06    5.866606
2025-01-07    6.076337
Freq: D, dtype: float64"
43,Australs Football Club,0.6319035962544194,0.8146952116971298,"2025-01-01    0.610704
2025-01-02    0.513392
2025-01-03    0.495504
2025-01-04    0.495504
2025-01-05    0.495504
2025-01-06    0.495504
2025-01-07    0.495504
Freq: D, dtype: float64"
44,Arcadia High School (Louisiana),1.0737592290584062,1.4560626827236112,"2025-01-01    1.999358
2025-01-02    1.868596
2025-01-03    1.860049
2025-01-04    1.859491
2025-01-05    1.859454
2025-01-06    1.859452
2025-01-07    1.859452
Freq: D, dtype: float64"
45,Bibliome,0.9369667471153306,1.256230807325226,"2025-01-01    0.737340
2025-01-02    0.717838
2025-01-03    0.716390
2025-01-04    0.716282
2025-01-05    0.716274
2025-01-06    0.716273
2025-01-07    0.716273
Freq: D, dtype: float64"
46,2009 Harmony Gold mine deaths,1.6880154778071188,2.68994542898325,"2025-01-01    4.696657
2025-01-02    4.602967
2025-01-03    4.574311
2025-01-04    4.565500
2025-01-05    4.562799
2025-01-06    4.561969
2025-01-07    4.561714
Freq: D, dtype: float64"
47,Altynay Sapargalieva,1.7286931690277676,3.199836420086344,"2025-01-01    2.618572
2025-01-02    2.775440
2025-01-03    2.388032
2025-01-04    2.246687
2025-01-05    2.167972
2025-01-06    2.124136
2025-01-07    2.099724
Freq: D, dtype: float64"
48,Bekovsky District,0.767202128519751,1.081510722813931,"2025-01-01    0.751641
2025-01-02    0.631505
2025-01-03    0.682004
2025-01-04    0.682004
2025-01-05    0.682004
2025-01-06    0.682004
2025-01-07    0.682004
Freq: D, dtype: float64"
49,Ballistic movement,4.963189475983805,6.93486807160693,"2025-01-01    9.625537
2025-01-02    9.893292
2025-01-03    9.893292
2025-01-04    9.893292
2025-01-05    9.893292
2025-01-06    9.893292
2025-01-07    9.893292
Freq: D, dtype: float64"
50,Argentina (river),1.0498814222811614,2.194109540183273,"2025-01-01    1.101305
2025-01-02    1.130848
2025-01-03    1.139464
2025-01-04    1.141976
2025-01-05    1.142709
2025-01-06    1.142923
2025-01-07    1.142985
Freq: D, dtype: float64"
51,Anwar Mohamed Ali,0.5155860182953014,0.6996550838413181,"2024-12-30    0.397109
2024-12-31    0.352166
2025-01-01    0.348815
2025-01-02    0.348566
2025-01-03    0.348547
2025-01-04    0.348546
2025-01-05    0.348545
Freq: D, dtype: float64"
52,2012 Canadian Masters Curling Championships,0.610893687560796,1.326471024083575,"2025-01-01    0.368951
2025-01-02    0.381681
2025-01-03    0.347895
2025-01-04    0.353579
2025-01-05    0.334914
2025-01-06    0.337299
2025-01-07    0.326956
Freq: D, dtype: float64"
53,2013 Asian Tour,1.2432417446587518,1.7869629600027834,"2025-01-01    1.237669
2025-01-02    1.213249
2025-01-03    1.422757
2025-01-04    1.160941
2025-01-05    1.144184
2025-01-06    1.155345
2025-01-07    1.129354
Freq: D, dtype: float64"
54,1982 Victorian state election,5.032981169481873,12.351616494871394,"2025-01-01     4.349684
2025-01-02     6.946223
2025-01-03     7.992295
2025-01-04     8.798983
2025-01-05     9.421067
2025-01-06     9.900793
2025-01-07    10.270739
Freq: D, dtype: float64"
55,Beauchemin (surname),0.9128768146470043,1.2579727564454641,"2025-01-01    1.094382
2025-01-02    1.104293
2025-01-03    1.099390
2025-01-04    1.106383
2025-01-05    1.102700
2025-01-06    1.107645
2025-01-07    1.104894
Freq: D, dtype: float64"
56,1994 Plzeň municipal election,0.541843622342617,0.6957221969406167,"2025-01-01    0.131216
2025-01-02    0.131216
2025-01-03    0.131216
2025-01-04    0.131216
2025-01-05    0.131216
2025-01-06    0.131216
2025-01-07    0.131216
Freq: D, dtype: float64"
57,Brian McCarthy Memorial Moosehead Award,0.852630443610012,1.3630359570605153,"2025-01-01    0.35454
2025-01-02    0.35454
2025-01-03    0.35454
2025-01-04    0.35454
2025-01-05    0.35454
2025-01-06    0.35454
2025-01-07    0.35454
Freq: D, dtype: float64"
58,1990s in Angola,1.8296355464305067,3.8472314595701103,"2025-01-01    2.929111
2025-01-02    2.795712
2025-01-03    2.427881
2025-01-04    2.611384
2025-01-05    2.410163
2025-01-06    2.562802
2025-01-07    2.428995
Freq: D, dtype: float64"
