title,chunk_idx,mae,rmse,forecast,model_path
1986 in England,0,1.2475069761276245,4.096902847290039,"[[1.69482484e-13 9.51499689e-14 1.12821746e-13 ... 1.24709000e-13
  1.19707507e-13 1.09819197e-13]
 [1.34662340e-14 3.06975514e-14 1.55468849e-14 ... 4.81386984e-14
  5.54026715e-17 5.81983236e-17]
 [5.39947452e-16 2.67585146e-16 3.14372414e-16 ... 4.04469853e-16
  3.38081316e-16 6.47696364e-15]
 ...
 [8.22191694e-16 7.52973115e-16 1.03746215e-15 ... 9.51067397e-15
  4.51206286e-14 4.42692042e-17]
 [2.43181208e-13 4.97415829e-14 2.16565894e-14 ... 3.48031981e-14
  6.20548941e-14 8.66150413e-14]
 [5.69226978e-15 3.25632478e-15 1.79483867e-15 ... 1.46451912e-15
  9.00699854e-15 7.47318693e-16]]",models/tft_1_1986_in_England.pt
Battle of Ayshal,0,2.319315195083618,3.6393613815307617,"[[4.6410017 4.4861116 4.380872  ... 4.185308  4.2468567 4.194888 ]
 [7.83665   7.875826  7.711055  ... 7.323953  7.1683536 6.9954762]
 [3.4549594 2.9270718 3.2001214 ... 3.5343187 3.618311  3.662865 ]
 ...
 [2.733902  2.8275857 2.8614151 ... 2.9195533 3.0311987 3.116469 ]
 [5.7689633 5.493337  5.333237  ... 5.080638  5.017918  5.068062 ]
 [3.7475543 3.528856  3.4062448 ... 3.260861  3.2359214 3.1838727]]",models/tft_2_Battle_of_Ayshal.pt
2012 World Mountain Running Championships,0,0.5278112888336182,1.032852053642273,"[[9.35080243e-15 9.79475095e-12 7.49880279e-12 ... 1.19010932e-12
  3.09154286e-14 7.49563172e-15]
 [4.36334736e-12 3.61860498e-12 1.63421692e-14 ... 1.77049148e-14
  1.56988239e-14 1.08581399e-09]
 [4.65484042e-13 3.40456694e-13 5.90907802e-14 ... 5.65933798e-15
  3.47171255e-15 4.98097765e-13]
 ...
 [1.06413524e-11 1.04889643e-12 1.59108715e-13 ... 8.75139405e-10
  4.95435082e-10 9.52401699e-11]
 [7.65099620e-15 8.27942349e-15 9.83673971e-13 ... 5.92162089e-15
  9.52843117e-15 1.72815575e-14]
 [2.81917909e-11 1.26468298e-11 1.21012714e-11 ... 1.29520689e-12
  1.01983709e-13 1.08361664e-13]]",models/tft_3_2012_World_Mountain_Running_Championships.pt
Anthony Aucher,0,1.628652572631836,2.8880131244659424,"[[5.0708088e-16 6.0531365e-20 1.3623999e-19 ... 5.4711013e-19
  2.5603841e-18 1.0169335e-16]
 [7.6029395e-13 5.8782796e-13 9.2587038e-13 ... 1.1878166e-12
  1.1362581e-12 3.0785825e-16]
 [2.7967304e-13 4.8092379e-13 1.1600575e-12 ... 1.4518603e-13
  1.4747743e-13 1.5306881e-13]
 ...
 [3.0339867e-17 3.8895832e-17 3.6484536e-16 ... 3.0851126e-20
  3.2034482e-20 5.4265963e-20]
 [5.8700186e-18 3.9591180e-17 2.6575002e-16 ... 3.1079001e-19
  5.4372086e-19 1.5366869e-18]
 [2.9709035e-17 3.0295688e-17 1.1042758e-15 ... 1.8060910e-20
  1.9061503e-20 4.9221037e-20]]",models/tft_4_Anthony_Aucher.pt
2008 Cotton Bowl Classic,0,6.4909186363220215,32.0604248046875,"[[ 6.1926594  6.2330236  6.1906037 ...  6.059534   6.0212016  5.8996167]
 [12.815193  12.940095  13.240084  ... 14.378954  15.036725  12.680821 ]
 [ 7.954307   8.165617   8.425727  ...  8.5989485  8.841994   9.079617 ]
 ...
 [11.003827  10.891263  10.972995  ... 11.486953  11.8584585 12.2041855]
 [ 6.451223   6.446759   6.3805523 ...  6.213118   6.1570425  6.021098 ]
 [13.4852295 13.0229    12.781153  ... 12.486407  12.323589  12.485171 ]]",models/tft_5_2008_Cotton_Bowl_Classic.pt
Brian Dear,0,8.545557975769043,55.44181442260742,"[[17.43417  17.628088 17.234785 ... 16.317583 15.430073 15.59334 ]
 [16.71164  16.09491  13.781783 ... 13.070236 13.039266 12.186706]
 [16.921438 15.976358 15.691994 ... 15.954984 15.625644 16.428152]
 ...
 [12.937726 14.835005 16.265934 ... 14.484593 13.991775 13.948392]
 [14.526054 16.613161 17.407024 ... 19.27013  16.838108 16.762203]
 [13.632742 16.319427 17.089912 ... 19.650677 20.901537 21.368687]]",models/tft_6_Brian_Dear.pt
1981 in jazz,0,1.485671877861023,2.3229823112487793,"[[1.4869236  1.4807783  1.4694723  ... 1.3859211  1.428053   1.6653175 ]
 [1.3004861  1.4140333  1.2921772  ... 1.0782406  1.0960735  1.1300081 ]
 [1.3841699  1.4630462  1.5430654  ... 1.732693   1.8236266  1.5044699 ]
 ...
 [1.4205784  1.3754065  1.4385387  ... 1.6718309  1.6846857  1.6732047 ]
 [1.6322372  1.5016016  1.4141326  ... 1.3926879  1.5240545  1.6934018 ]
 [0.79446137 0.89394027 0.9379272  ... 1.0790702  1.2040269  1.2307335 ]]",models/tft_7_1981_in_jazz.pt
2003 King George VI and Queen Elizabeth Stakes,0,0.6595025658607483,1.3603111505508423,"[[8.3780436e-22 7.6970459e-22 7.2610549e-22 ... 1.0901133e-21
  9.2534054e-21 1.3633008e-17]
 [1.6572743e-12 5.5892297e-13 1.9839279e-13 ... 4.7114561e-12
  4.8728955e-12 2.6523306e-12]
 [6.7821362e-21 8.7692866e-18 8.3731085e-18 ... 2.2451779e-22
  2.5855543e-22 2.6689520e-22]
 ...
 [1.5287978e-20 1.0909833e-20 1.1232985e-20 ... 8.9452685e-21
  8.7192721e-21 7.6532204e-21]
 [3.9957906e-17 3.9449468e-17 1.9446015e-17 ... 1.1679093e-17
  1.2022233e-17 7.0847548e-18]
 [1.0119197e-21 6.1035150e-22 8.5800278e-22 ... 3.8609410e-21
  4.4511263e-21 4.9968866e-21]]",models/tft_8_2003_King_George_VI_and_Queen_Elizabeth_Stakes.pt
England Knights match results,0,0.7286551594734192,1.6373159885406494,"[[2.0941537e-18 8.7653362e-19 1.1579141e-18 ... 8.0782144e-18
  1.0812938e-17 1.5565939e-17]
 [1.8261064e-19 4.6398639e-19 9.4933955e-20 ... 1.5434068e-19
  3.5207718e-19 4.4125179e-19]
 [1.5662081e-16 2.0713694e-16 2.1411038e-16 ... 3.0857632e-18
  3.2330133e-18 3.3500627e-18]
 ...
 [6.0335957e-17 1.3517262e-18 1.7411085e-18 ... 1.3667942e-18
  2.2046899e-18 2.1666379e-18]
 [6.9543683e-21 1.6918885e-21 1.7426407e-21 ... 2.1940827e-20
  1.9710292e-20 1.6299316e-20]
 [8.2666524e-20 1.5060560e-19 7.2211756e-20 ... 4.3979983e-19
  4.4424795e-19 5.6894139e-19]]",models/tft_9_England_Knights_match_results.pt
Bare-eared squirrel monkey,0,2.1248831748962402,2.820288896560669,"[[4.5866547 4.6263027 4.6574335 ... 4.759524  4.6944127 4.679476 ]
 [4.681814  4.791348  4.8266354 ... 4.895034  4.816858  4.8011556]
 [3.8443496 3.8825479 3.8915548 ... 3.9269607 3.9533393 3.9823587]
 ...
 [4.318263  4.448685  4.58842   ... 4.762182  4.79423   4.8534155]
 [3.8644137 3.839802  3.8135173 ... 3.8355052 3.8844483 3.9781651]
 [4.534462  4.635178  4.6681504 ... 4.6774645 4.677248  4.6664844]]",models/tft_10_Bare-eared_squirrel_monkey.pt
